"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000102575.14","protein_coding","ACP5",NA,"54"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000078295.17","protein_coding","ADCY2",NA,"108"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000130203.10","protein_coding","APOE",NA,"348"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000104763.20","protein_coding","ASAH1",NA,"427"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000101197.13","protein_coding","BIRC7",NA,"79444"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000154642.11","protein_coding","C21orf91",NA,"54149"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000092529.25","protein_coding","CAPN3",NA,"825"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000039068.20","protein_coding","CDH1",NA,"999"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000123374.11","protein_coding","CDK2",NA,"1017"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000176749.9","protein_coding","CDK5R1",NA,"8851"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000079385.23","protein_coding","CEACAM1",NA,"634"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000196730.13","protein_coding","DAPK1",NA,"1612"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000080166.16","protein_coding","DCT",NA,"1638"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000185442.13","protein_coding","FAM174B",NA,"400451"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000115339.14","protein_coding","GALNT3",NA,"2591"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000111670.16","protein_coding","GNPTAB",NA,"79158"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000046653.15","protein_coding","GPM6B",NA,"2824"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000101850.13","protein_coding","GPR143",NA,"4935"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000167191.12","protein_coding","GPRC5B",NA,"51704"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000056998.20","protein_coding","GYG2",NA,"8908"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000100099.21","protein_coding","HPS4",NA,"89781"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000109452.13","protein_coding","INPP4B",NA,"8821"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000137265.16","protein_coding","IRF4",NA,"3662"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000116679.16","protein_coding","IVNS1ABP",NA,"10625"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000189337.17","protein_coding","KAZN",NA,"23254"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000197971.16","protein_coding","MBP",NA,"4155"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000135596.18","protein_coding","MICAL1",NA,"64780"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000187098.18","protein_coding","MITF",NA,"4286"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000120215.10","protein_coding","MLANA",NA,"2315"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000176658.17","protein_coding","MYO1D",NA,"4642"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000119508.18","protein_coding","NR4A3",NA,"8013"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000104044.16","protein_coding","OCA2",NA,"4948"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000112137.19","protein_coding","PHACTR1",NA,"221692"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000087842.11","protein_coding","PIR",NA,"8544"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000136040.9","protein_coding","PLXNC1",NA,"10154"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000185664.15","protein_coding","PMEL",NA,"6490"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000069974.16","protein_coding","RAB27A",NA,"5873"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000123892.12","protein_coding","RAB38",NA,"23682"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000147509.14","protein_coding","RGS20",NA,"8601"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000119729.12","protein_coding","RHOQ",NA,"23433"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000025039.15","protein_coding","RRAGD",NA,"58528"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000092421.17","protein_coding","SEMA6A",NA,"57556"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000198053.12","protein_coding","SIRPA",NA,"140885"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000164175.15","protein_coding","SLC45A2",NA,"51151"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000064225.13","protein_coding","ST3GAL6",NA,"10402"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000079950.14","protein_coding","STX7",NA,"8417"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000157873.18","protein_coding","TNFRSF14",NA,"8764"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000134160.15","protein_coding","TRPM1",NA,"4308"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000077498.9","protein_coding","TYR",NA,"7299"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000107165.13","protein_coding","TYRP1",NA,"7306"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000105875.15","protein_coding","WDR91",NA,"29062"
"IPRES_Hugo","HOEK_PROLIFEATIVE_SIG","ENSG00000039319.17","protein_coding","ZFYVE16",NA,"9765"
